case_001.txt	faces=3	max_face=4	vertices=4	edges=5	n_vertices=4 target_faces=3
case_074.txt	faces=21	max_face=22	vertices=22	edges=41	n_vertices=22 target_faces=21
case_075.txt	faces=22	max_face=23	vertices=23	edges=43	n_vertices=23 target_faces=22
case_076.txt	faces=22	max_face=23	vertices=23	edges=43	n_vertices=23 target_faces=22
case_077.txt	faces=22	max_face=23	vertices=23	edges=43	n_vertices=23 target_faces=22
case_078.txt	faces=23	max_face=24	vertices=24	edges=45	n_vertices=24 target_faces=23
case_079.txt	faces=23	max_face=24	vertices=24	edges=45	n_vertices=24 target_faces=23
case_080.txt	faces=23	max_face=24	vertices=24	edges=45	n_vertices=24 target_faces=23
case_081.txt	faces=24	max_face=25	vertices=25	edges=47	n_vertices=25 target_faces=24
case_082.txt	faces=24	max_face=25	vertices=25	edges=47	n_vertices=25 target_faces=24
case_083.txt	faces=24	max_face=25	vertices=25	edges=47	n_vertices=25 target_faces=24
case_084.txt	faces=25	max_face=26	vertices=26	edges=49	n_vertices=26 target_faces=25
case_085.txt	faces=25	max_face=26	vertices=26	edges=49	n_vertices=26 target_faces=25
case_086.txt	faces=25	max_face=26	vertices=26	edges=49	n_vertices=26 target_faces=25
case_087.txt	faces=25	max_face=26	vertices=26	edges=49	n_vertices=26 target_faces=25
case_088.txt	faces=26	max_face=27	vertices=27	edges=51	n_vertices=27 target_faces=26
case_089.txt	faces=26	max_face=27	vertices=27	edges=51	n_vertices=27 target_faces=26
case_090.txt	faces=26	max_face=27	vertices=27	edges=51	n_vertices=27 target_faces=26
case_091.txt	faces=27	max_face=28	vertices=28	edges=53	n_vertices=28 target_faces=27
case_092.txt	faces=27	max_face=28	vertices=28	edges=53	n_vertices=28 target_faces=27
case_093.txt	faces=27	max_face=28	vertices=28	edges=53	n_vertices=28 target_faces=27
case_094.txt	faces=28	max_face=29	vertices=29	edges=55	n_vertices=29 target_faces=28
case_095.txt	faces=28	max_face=29	vertices=29	edges=55	n_vertices=29 target_faces=28
case_096.txt	faces=28	max_face=29	vertices=29	edges=55	n_vertices=29 target_faces=28
case_097.txt	faces=28	max_face=29	vertices=29	edges=55	n_vertices=29 target_faces=28
case_098.txt	faces=29	max_face=30	vertices=30	edges=57	n_vertices=30 target_faces=29
case_099.txt	faces=29	max_face=30	vertices=30	edges=57	n_vertices=30 target_faces=29
case_100.txt	faces=29	max_face=30	vertices=30	edges=57	n_vertices=30 target_faces=29
